60,52,80,120
30,47,56,120
44,63,63,240
120,64,60,120
120,65,63,120
120,70,60,120
0,66,57,120
120,74,66,120
0,64,44,120
120,63,44,120
0,77,61,120
0,53,41,120
120,65,45,120
120,82,71,57
0,62,49,120
120,76,61,120
0,61,41,120
120,64,44,120
120,63,40,120
0,56,39,60
120,63,48,120
0,52,34,60
120,57,44,120
0,53,39,120
120,73,58,60
0,41,34,60
240,63,49,240
0,70,68,120
0,53,38,120
0,51,40,180
0,56,41,180
120,71,60,60
0,49,35,60
120,65,48,60
120,61,48,180
0,61,63,120
0,51,36,60
0,52,40,60
120,70,57,60
120,64,48,60
0,69,59,180
0,70,55,120
0,44,39,60
0,52,41,60
120,69,44,60
120,59,41,180
0,63,52,120
0,49,38,60
0,42,31,60
120,74,46,60
120,59,40,180
0,65,38,180
0,71,56,120
0,55,42,60
0,39,34,60
120,69,45,60
120,64,49,180
0,66,51,120
0,47,36,60
0,47,34,60
120,73,43,60
120,59,45,180
0,63,50,1
0,44,40,80
160,66,44,80
0,61,44,80
0,72,43,80
0,72,51,80
160,69,49,80
0,73,49,80
0,61,36,80
0,65,37,80
160,73,42,160
0,77,39,160
0,73,37,160
0,65,33,160
0,62,41,80
160,76,46,80
0,77,47,80
0,73,33,80
0,48,27,80
0,52,24,80
160,67,42,160
0,68,41,160
0,57,36,160
0,55,31,160
0,59,35,160
160,70,39,80
0,82,56,80
0,56,29,80
0,65,39,80
160,77,53,80
0,80,59,80
0,68,48,80
0,68,41,80
160,84,59,160
0,86,66,160
0,67,39,160
0,72,46,160
0,68,41,160
160,79,46,80
0,89,61,80
0,68,33,80
0,68,36,80
80,79,44,80
0,80,50,80
0,55,39,80
0,67,33,80
160,72,54,80
0,81,62,80
0,60,44,80
0,67,39,80
0,73,44,80
160,76,62,160
0,79,69,160
0,63,49,160
0,63,46,160
0,77,59,160
160,77,65,80
0,68,49,80
0,72,51,80
0,77,52,80
160,70,64,80
0,79,72,80
0,63,44,80
0,73,51,80
160,74,66,80
0,76,64,80
0,56,49,80
0,54,36,80
0,64,44,80
0,71,51,80
160,77,62,160
0,80,79,160
0,68,49,160
0,65,51,160
0,71,56,160
160,79,62,80
0,80,74,80
0,63,36,80
0,62,39,80
160,67,62,80
0,79,71,80
0,56,29,80
0,63,34,80
0,68,38,80
160,72,60,80
0,75,56,80
0,63,37,80
0,65,39,80
160,66,55,160
0,68,59,160
0,82,72,160
160,72,56,80
0,78,70,80
0,56,56,80
0,63,62,80
160,73,74,80
0,78,79,80
0,54,52,80
0,63,52,80
160,73,72,80
0,66,54,80
0,67,48,80
